球员编号,姓名(英文),场上位置(大类),场上位置(细分),惯用脚,身高_cm,国籍(国际),出生日期,转会时年龄,国籍(转会源),位置(转会源)
2963,Martin Demichelis,Defender,Centre-Back,right,184.0,Argentina,1980-12-20 00:00:00,32.0,Argentina,CB
58205,Andre Schurrle,Attack,Left Winger,right,184.0,Germany,1990-11-06 00:00:00,22.0,Germany,LW
35664,Mesut Ozil,Midfield,Attacking Midfield,left,180.0,Germany,1988-10-15 00:00:00,24.0,Germany,AM
111630,Erik Lamela,Attack,Right Winger,left,184.0,Argentina,1992-03-04 00:00:00,21.0,Argentina,RW
34870,Roberto Soldado,Attack,Centre-Forward,right,180.0,Spain,1985-05-27 00:00:00,28.0,Spain,CF
63494,Etienne Capoue,Midfield,Defensive Midfield,right,189.0,France,1988-07-11 00:00:00,25.0,France,DM
101118,Joel Robles,Goalkeeper,Goalkeeper,right,194.0,Spain,1990-06-17 00:00:00,23.0,Spain,GK
47713,Mamadou Sakho,Defender,Centre-Back,left,187.0,France,1990-02-13 00:00:00,23.0,France,CB
72047,Iago Aspas,Attack,Centre-Forward,left,176.0,Spain,1987-08-01 00:00:00,25.0,Spain,CF
50219,Simon Mignolet,Goalkeeper,Goalkeeper,right,193.0,Belgium,1988-03-06 00:00:00,25.0,Belgium,GK
58436,Luis Alberto,Midfield,Defensive Midfield,right,183.0,Brazil,1983-11-17 00:00:00,20.0,Spain,CM
37157,Stephane Sessegnon,Midfield,Attacking Midfield,right,172.0,Benin,1984-06-01 00:00:00,29.0,Benin,AM
39532,Victor Anichebe,Attack,Centre-Forward,right,190.0,Nigeria,1988-04-23 00:00:00,25.0,Nigeria,CF
71292,Jonjo Shelvey,Midfield,Central Midfield,right,184.0,England,1992-02-27 00:00:00,21.0,England,CM
85289,Jordi Amat,Defender,Centre-Back,right,185.0,Indonesia,1992-03-21 00:00:00,21.0,Spain,CB
188853,Alejandro Pozuelo,Midfield,Attacking Midfield,both,172.0,Spain,1991-09-20 00:00:00,21.0,Spain,AM
48066,Andy Carroll,Attack,Centre-Forward,left,193.0,England,1989-01-06 00:00:00,24.0,England,CF
4063,Stewart Downing,Attack,Left Winger,left,180.0,England,1984-07-22 00:00:00,29.0,England,LM
23218,Javier Garrido,Defender,Left-Back,left,179.0,Spain,1985-03-15 00:00:00,28.0,Spain,LB
4311,Maarten Stekelenburg,Goalkeeper,Goalkeeper,right,197.0,,1982-09-22 00:00:00,30.0,Netherlands,GK
3785,Scott Parker,Midfield,Central Midfield,right,180.0,England,1980-10-13 00:00:00,32.0,England,CM
41384,Marko Arnautovic,Attack,Centre-Forward,both,192.0,Austria,1989-04-19 00:00:00,24.0,Austria,CF
37389,Daniel Osvaldo,Attack,Centre-Forward,right,182.0,Italy,1986-01-12 00:00:00,27.0,Italy,CF
37838,Dejan Lovren,Defender,Centre-Back,right,188.0,Croatia,1989-07-05 00:00:00,23.0,Croatia,CB
63824,Libor Kozak,Attack,Centre-Forward,right,193.0,Czech Republic,1989-05-30 00:00:00,24.0,Czech Republic,CF
126516,Antonio Luna,Defender,Left-Back,left,178.0,Spain,1991-03-17 00:00:00,22.0,Spain,LB
110867,Jed Steer,Goalkeeper,Goalkeeper,left,183.0,England,1992-09-23 00:00:00,20.0,England,GK
84835,Emanuele Giaccherini,Midfield,Left Midfield,right,167.0,Italy,1985-05-05 00:00:00,28.0,Italy,LM
33781,Vito Mannone,Goalkeeper,Goalkeeper,right,188.0,Italy,1988-03-02 00:00:00,25.0,Italy,GK
60889,Gary Medel,Midfield,Defensive Midfield,right,171.0,Chile,1987-08-03 00:00:00,26.0,Chile,CB
121280,Steven Caulker,Defender,Centre-Back,right,191.0,Sierra Leone,1991-12-29 00:00:00,21.0,Sierra Leone,CB
12516,Peter Odemwingie,Attack,Right Winger,right,181.0,Nigeria,1981-07-15 00:00:00,32.0,Nigeria,RW
60603,Kevin Theophile-Catherine,Defender,Centre-Back,right,183.0,Martinique,1989-10-28 00:00:00,23.0,Martinique,CB
13465,Tom Huddlestone,Midfield,Defensive Midfield,right,188.0,England,1986-12-28 00:00:00,26.0,England,DM
66333,Ahmed Elmohamady,Defender,Right-Back,right,182.0,Egypt,1987-09-09 00:00:00,25.0,Egypt,RB
60591,Yannick Sagbo,Attack,Centre-Forward,right,183.0,Cote d'Ivoire,1988-04-12 00:00:00,25.0,Cote d'Ivoire,CF
61561,Barry Bannan,Midfield,Central Midfield,left,169.0,Scotland,1989-12-01 00:00:00,23.0,Scotland,CM
120095,Jose Campana,Midfield,Central Midfield,right,179.0,Spain,1993-05-31 00:00:00,20.0,Spain,CM
19085,Marouane Chamakh,Attack,Centre-Forward,right,188.0,Morocco,1984-01-10 00:00:00,29.0,Morocco,CF
44068,Juan Mata,Midfield,Attacking Midfield,left,170.0,Spain,1988-04-28 00:00:00,25.0,Spain,AM
157509,Kurt Zouma,Defender,Centre-Back,right,190.0,France,1994-10-27 00:00:00,19.0,France,CB
67089,Juan Cala,Defender,Centre-Back,right,186.0,,1989-11-26 00:00:00,24.0,Spain,CB
37304,Shane Long,Attack,Centre-Forward,both,180.0,Ireland,1987-01-22 00:00:00,26.0,Ireland,CF
25742,Nikica Jelavic,Attack,Centre-Forward,both,188.0,Croatia,1985-08-27 00:00:00,28.0,Croatia,CF
47995,Jason Puncheon,Midfield,Central Midfield,left,173.0,England,1986-06-18 00:00:00,27.0,England,CM
40433,Alexis Sanchez,Attack,Second Striker,right,169.0,Chile,1988-12-19 00:00:00,25.0,Chile,CF
215118,Calum Chambers,Defender,Centre-Back,right,182.0,England,1995-01-20 00:00:00,19.0,England,RB
67063,Danny Welbeck,Attack,Centre-Forward,right,185.0,England,1990-11-26 00:00:00,23.0,England,CF
73396,David Ospina,Goalkeeper,Goalkeeper,right,183.0,Colombia,1988-08-31 00:00:00,25.0,Colombia,GK
51226,Carlos Sanchez,Midfield,Defensive Midfield,left,182.0,Colombia,1986-02-06 00:00:00,28.0,Colombia,DM
57515,Aly Cissokho,Defender,Centre-Back,left,187.0,France,1987-09-15 00:00:00,26.0,France,CB
45623,George Boyd,Attack,Left Winger,left,186.0,Scotland,1985-10-02 00:00:00,28.0,Scotland,LW
25366,Michael Kightly,Attack,Left Winger,right,173.0,England,1986-01-24 00:00:00,28.0,England,LM
44779,Diego Costa,Attack,Centre-Forward,right,186.0,Spain,1988-10-07 00:00:00,25.0,Spain,CF
8806,Cesc Fabregas,Midfield,Central Midfield,right,179.0,Spain,1987-05-04 00:00:00,27.0,Spain,CM
21725,Filipe Luis,Defender,Left-Back,left,182.0,Brazil,1985-08-09 00:00:00,28.0,Brazil,LB
141655,Zeki Fryers,Defender,Left-Back,left,185.0,England,1992-09-09 00:00:00,21.0,England,LB
78959,Martin Kelly,Defender,Right-Back,right,191.0,England,1990-04-27 00:00:00,24.0,England,RB
96341,Romelu Lukaku,Attack,Centre-Forward,left,190.0,Belgium,1993-05-13 00:00:00,21.0,Belgium,CF
76608,Abel Hernandez,Attack,Centre-Forward,left,185.0,Uruguay,1990-08-08 00:00:00,24.0,Uruguay,CF
61832,Jake Livermore,Midfield,Defensive Midfield,right,180.0,England,1989-11-14 00:00:00,24.0,England,DM
70950,Mohamed Diame,Midfield,Central Midfield,right,184.0,Senegal,1987-06-14 00:00:00,27.0,Senegal,CM
9988,Michael Dawson,Defender,Centre-Back,right,189.0,England,1983-11-18 00:00:00,30.0,England,CB
37442,Danny Simpson,Defender,Right-Back,right,176.0,England,1987-01-04 00:00:00,27.0,England,RB
43530,Adam Lallana,Midfield,Attacking Midfield,both,172.0,England,1988-05-10 00:00:00,26.0,England,AM
45146,Mario Balotelli,Attack,Centre-Forward,right,189.0,Italy,1990-08-12 00:00:00,24.0,Italy,CF
207917,Alberto Moreno,Defender,Left-Back,left,171.0,Spain,1992-07-05 00:00:00,22.0,Spain,LB
148368,Divock Origi,Attack,Centre-Forward,right,189.0,Belgium,1995-04-18 00:00:00,19.0,Belgium,CF
119296,Emre Can,Defender,Centre-Back,right,186.0,Germany,1994-01-12 00:00:00,20.0,Germany,DM
49655,Rickie Lambert,Attack,Centre-Forward,right,187.0,England,1982-02-16 00:00:00,32.0,England,CF
19948,Willy Caballero,Goalkeeper,Goalkeeper,right,186.0,Argentina,1981-09-28 00:00:00,32.0,Argentina,GK
45320,Angel Di Maria,Attack,Right Winger,left,178.0,Argentina,1988-02-14 00:00:00,26.0,Argentina,RW
183288,Luke Shaw,Defender,Left-Back,left,178.0,England,1995-07-12 00:00:00,18.0,England,LB
99343,Ander Herrera,Midfield,Central Midfield,right,182.0,Spain,1989-08-14 00:00:00,24.0,Spain,CM
113707,Remy Cabella,Midfield,Attacking Midfield,right,172.0,France,1990-03-08 00:00:00,24.0,France,AM
61637,Emmanuel Riviere,Attack,Centre-Forward,right,182.0,Martinique,1990-03-03 00:00:00,24.0,Martinique,CF
59368,Sandro,Defender,Centre-Back,right,188.0,Portugal,1982-12-05 00:00:00,25.0,Brazil,DM
128909,Jack Robinson,Defender,Centre-Back,left,180.0,England,1993-09-01 00:00:00,20.0,England,LB
44675,Bojan Krkic,Attack,Second Striker,right,173.0,Spain,1990-08-28 00:00:00,23.0,Spain,SS
52119,Patrick van Aanholt,Defender,Left-Back,left,176.0,Netherlands,1990-08-29 00:00:00,23.0,Netherlands,LB
85475,Federico Fernandez,Defender,Centre-Back,right,190.0,Argentina,1989-02-21 00:00:00,25.0,Argentina,CB
192765,Ben Davies,Defender,Centre-Back,left,181.0,Wales,1993-04-24 00:00:00,21.0,Wales,LB
45314,Federico Fazio,Defender,Centre-Back,right,195.0,Argentina,1987-03-17 00:00:00,27.0,Argentina,CB
127160,Benjamin Stambouli,Midfield,Defensive Midfield,right,180.0,France,1990-08-13 00:00:00,24.0,France,DM
26276,Michel Vorm,Goalkeeper,Goalkeeper,right,183.0,Netherlands,1983-10-20 00:00:00,30.0,Netherlands,GK
17804,Sebastien Pocognoli,Defender,Left-Back,left,181.0,Belgium,1987-08-01 00:00:00,26.0,Belgium,LB
120610,Diafra Sakho,Attack,Centre-Forward,right,184.0,Senegal,1989-12-24 00:00:00,24.0,Senegal,CF
39883,Morgan Amalfitano,Midfield,Right Midfield,right,178.0,France,1985-03-20 00:00:00,29.0,France,RW
149498,Gabriel Paulista,Defender,Centre-Back,right,185.0,Brazil,1990-11-26 00:00:00,24.0,Brazil,CB
127987,Carles Gil,Midfield,Attacking Midfield,left,171.0,Spain,1992-11-22 00:00:00,22.0,Spain,AM
91970,Juan Cuadrado,Midfield,Right Midfield,right,176.0,Colombia,1988-05-26 00:00:00,26.0,Colombia,RB
57207,Jordon Mutch,Midfield,Central Midfield,right,184.0,England,1991-12-02 00:00:00,23.0,England,CM
125868,Pape Souare,Defender,Left-Back,left,178.0,Senegal,1990-06-06 00:00:00,24.0,Senegal,LB
145988,Wilfried Zaha,Attack,Left Winger,right,180.0,Cote d'Ivoire,1992-11-10 00:00:00,22.0,Cote d'Ivoire,LW
81808,Wilfried Bony,Attack,Centre-Forward,right,183.0,Cote d'Ivoire,1988-12-10 00:00:00,26.0,Cote d'Ivoire,CF
40611,Ryan Bertrand,Defender,Left-Back,left,179.0,England,1989-08-05 00:00:00,25.0,England,LB
66219,Kyle Naughton,Defender,Right-Back,right,181.0,England,1988-11-17 00:00:00,26.0,England,RB
40613,Jack Cork,Midfield,Defensive Midfield,right,185.0,England,1989-06-25 00:00:00,25.0,England,DM
57840,Pedro,Midfield,Central Midfield,right,180.0,Spain,1984-03-10 00:00:00,28.0,Spain,RW
224884,Abdul-Rahman Baba,Defender,Left-Back,left,179.0,Ghana,1994-07-02 00:00:00,21.0,Ghana,LB
33873,Asmir Begovic,Goalkeeper,Goalkeeper,right,199.0,Bosnia-Herzegovina,1987-06-20 00:00:00,28.0,Bosnia-Herzegovina,GK
136610,Papy Djilobodji,Defender,Centre-Back,left,193.0,Senegal,1988-12-01 00:00:00,26.0,Senegal,CB
88755,Kevin De Bruyne,Midfield,Attacking Midfield,right,181.0,Belgium,1991-06-28 00:00:00,24.0,Belgium,AM
134425,Raheem Sterling,Attack,Right Winger,right,170.0,England,1994-12-08 00:00:00,20.0,England,LW
54781,Nicolas Otamendi,Defender,Centre-Back,right,182.0,Argentina,1988-02-12 00:00:00,27.0,Argentina,CB
50362,Fabian Delph,Midfield,Central Midfield,left,174.0,England,1989-11-21 00:00:00,25.0,England,CM
5658,Petr Cech,Goalkeeper,Goalkeeper,left,196.0,Czech Republic,1982-05-20 00:00:00,33.0,Czech Republic,GK
182877,Anthony Martial,Attack,Centre-Forward,right,184.0,France,1995-12-05 00:00:00,19.0,France,CF
56818,Morgan Schneiderlin,Midfield,Defensive Midfield,right,186.0,France,1989-11-08 00:00:00,25.0,France,DM
54906,Matteo Darmian,Defender,Right-Back,right,183.0,Italy,1989-12-02 00:00:00,25.0,Italy,RB
2514,Bastian Schweinsteiger,Midfield,Central Midfield,,,Germany,1984-08-01 00:00:00,30.0,Germany,CM
91845,Heung-min Son,Attack,Left Winger,both,183.0,"Korea, South",1992-07-08 00:00:00,23.0,"Korea, South",LW
42710,Toby Alderweireld,Defender,Centre-Back,right,187.0,Belgium,1989-03-02 00:00:00,26.0,Belgium,CB
241119,Clinton N'Jie,Attack,Right Winger,right,175.0,Cameroon,1993-08-15 00:00:00,22.0,Cameroon,RW
122675,Kevin Wimmer,Defender,Centre-Back,left,187.0,Austria,1992-11-15 00:00:00,22.0,Austria,CB
50201,Christian Benteke,Attack,Centre-Forward,right,190.0,Belgium,1990-12-03 00:00:00,24.0,Belgium,CF
131789,Roberto Firmino,Attack,Centre-Forward,right,181.0,Brazil,1991-10-02 00:00:00,23.0,Brazil,CF
85177,Nathaniel Clyne,Defender,Right-Back,right,175.0,England,1991-04-05 00:00:00,24.0,England,RB
66100,Oriol Romeu,Midfield,Defensive Midfield,right,183.0,Spain,1991-09-24 00:00:00,23.0,Spain,DM
126737,Juanmi,Attack,Left Winger,right,172.0,Spain,1993-05-20 00:00:00,22.0,Spain,RW
66413,Franck Tabanou,Defender,Left-Back,left,178.0,France,1989-01-30 00:00:00,26.0,France,LB
86792,Xherdan Shaqiri,Midfield,Attacking Midfield,left,169.0,Switzerland,1991-10-10 00:00:00,23.0,Switzerland,RW
81999,Joselu,Attack,Centre-Forward,right,191.0,Spain,1990-03-27 00:00:00,25.0,Spain,CF
53173,Philipp Wollscheid,Defender,Centre-Back,,,Germany,1989-03-06 00:00:00,26.0,Germany,CB
29434,Yohan Cabaye,Midfield,Central Midfield,right,173.0,France,1986-01-14 00:00:00,29.0,France,CM
95435,Connor Wickham,Attack,Centre-Forward,right,189.0,England,1993-03-31 00:00:00,22.0,England,CF
129476,Gerard Deulofeu,Attack,Centre-Forward,right,177.0,Spain,1994-03-13 00:00:00,21.0,Spain,LW
14221,Aaron Lennon,Attack,Right Winger,right,165.0,England,1987-04-16 00:00:00,28.0,England,RW
37647,Dimitri Payet,Midfield,Attacking Midfield,right,175.0,France,1987-03-29 00:00:00,28.0,France,AM
48002,Angelo Ogbonna,Defender,Centre-Back,left,191.0,Italy,1988-05-23 00:00:00,27.0,Italy,CB
101213,Pedro Obiang,Midfield,Central Midfield,right,186.0,Equatorial Guinea,1992-03-27 00:00:00,23.0,Equatorial Guinea,CM
42412,Jonny Evans,Defender,Centre-Back,both,188.0,Northern Ireland,1988-01-03 00:00:00,27.0,Northern Ireland,CB
79642,Shinji Okazaki,Attack,Centre-Forward,right,175.0,Japan,,29.0,Japan,CF
225083,N'Golo Kante,Midfield,Defensive Midfield,right,168.0,France,1991-03-29 00:00:00,24.0,France,DM
19041,Gokhan Inler,Midfield,Defensive Midfield,both,183.0,Switzerland,1984-06-27 00:00:00,31.0,Switzerland,DM
50477,Yohan Benalouane,Defender,Centre-Back,right,185.0,Tunisia,1987-03-28 00:00:00,28.0,Tunisia,CB
2998,Robert Huth,Defender,Centre-Back,,,Germany,1984-08-18 00:00:00,30.0,Germany,CB
184892,Florian Thauvin,Attack,Right Winger,left,181.0,France,1993-01-26 00:00:00,22.0,France,RW
76077,Ricardo Alvarez,Midfield,Central Midfield,left,188.0,Argentina,1988-04-12 00:00:00,27.0,Argentina,CM
27114,Younes Kaboul,Defender,Centre-Back,right,192.0,France,1986-01-04 00:00:00,29.0,France,CB
102427,Sebastian Coates,Defender,Centre-Back,right,196.0,Uruguay,1990-10-07 00:00:00,24.0,Uruguay,CB
108354,Jordan Ayew,Attack,Centre-Forward,right,182.0,Ghana,1991-09-11 00:00:00,23.0,Ghana,CF
241229,Jordan Amavi,Defender,Left-Back,left,176.0,France,1994-03-09 00:00:00,21.0,France,LB
164771,Jordan Veretout,Midfield,Central Midfield,right,177.0,France,1993-03-01 00:00:00,22.0,France,CM
126665,Idrissa Gueye,Midfield,Defensive Midfield,right,174.0,Senegal,1989-09-26 00:00:00,25.0,Senegal,DM
4241,Joleon Lescott,Defender,Centre-Back,left,191.0,England,1982-08-16 00:00:00,33.0,England,CB
28140,Max Gradel,Attack,Left Winger,right,175.0,Cote d'Ivoire,1987-11-30 00:00:00,27.0,Cote d'Ivoire,LW
45693,Glenn Murray,Attack,Centre-Forward,right,186.0,England,1983-09-25 00:00:00,31.0,England,CF
101500,Matej Vydra,Attack,Centre-Forward,right,180.0,Czech Republic,1992-05-01 00:00:00,23.0,Czech Republic,CF
21905,Valon Behrami,Midfield,Defensive Midfield,right,184.0,Switzerland,1985-04-19 00:00:00,30.0,Switzerland,DM
41112,Jose Cholevas,Defender,Left-Back,left,184.0,Greece,1984-06-27 00:00:00,31.0,Greece,LB
36608,Graham Dorrans,Midfield,Central Midfield,right,177.0,Scotland,1987-05-05 00:00:00,28.0,Scotland,CM
68306,Alberto Paloschi,Attack,Centre-Forward,right,183.0,Italy,1990-01-04 00:00:00,26.0,Italy,CF
61842,Andros Townsend,Attack,Right Winger,left,181.0,England,1991-07-16 00:00:00,24.0,England,RW
51540,Henri Saivet,Midfield,Attacking Midfield,right,175.0,Senegal,1990-10-26 00:00:00,25.0,Senegal,AM
103565,Wahbi Khazri,Attack,Left Winger,right,176.0,Tunisia,1991-02-08 00:00:00,24.0,Tunisia,CF
57420,Lamine Kone,Defender,Centre-Back,right,188.0,Cote d'Ivoire,1989-02-01 00:00:00,26.0,Cote d'Ivoire,CB
49734,Jan Kirchhoff,Defender,Centre-Back,right,195.0,Germany,1990-10-01 00:00:00,25.0,Germany,CB
35413,Lewis Grabban,Attack,Centre-Forward,right,183.0,Jamaica,1988-01-12 00:00:00,27.0,Jamaica,CF
308801,Adalberto Penaranda,Attack,Left Winger,right,186.0,Venezuela,1997-05-31 00:00:00,18.0,Venezuela,CF
127187,Abdoulaye Doucoure,Midfield,Attacking Midfield,right,183.0,Mali,1993-01-01 00:00:00,23.0,France,CM
55619,Nordin Amrabat,Attack,Right Winger,right,178.0,Morocco,1987-03-31 00:00:00,28.0,Morocco,RW
37337,Mario Suarez,Defender,Centre-Back,right,189.0,Spain,1987-02-24 00:00:00,28.0,Spain,DM
12763,Steven Naismith,Attack,Second Striker,right,178.0,Scotland,1986-09-14 00:00:00,29.0,Scotland,SS
65255,Timm Klose,Defender,Centre-Back,right,195.0,Switzerland,1988-05-09 00:00:00,27.0,Switzerland,CB
15921,Matt Jarvis,Attack,Left Winger,,173.0,England,1986-05-22 00:00:00,29.0,England,LW
111051,Nampalys Mendy,Midfield,Defensive Midfield,right,168.0,Senegal,1992-06-23 00:00:00,24.0,Senegal,DM
111455,Granit Xhaka,Midfield,Defensive Midfield,left,183.0,Switzerland,1992-09-27 00:00:00,23.0,Switzerland,DM
88590,Shkodran Mustafi,Defender,Centre-Back,right,184.0,Germany,1992-04-17 00:00:00,24.0,Germany,CB
73185,Lucas Perez,Attack,Centre-Forward,left,180.0,Spain,1988-09-10 00:00:00,27.0,Spain,CF
77760,Victor Wanyama,Midfield,Defensive Midfield,right,184.0,Kenya,1991-06-25 00:00:00,25.0,Kenya,DM
215679,Georges-Kevin N'Koudou,Attack,Left Winger,right,172.0,Cameroon,1995-02-13 00:00:00,21.0,France,LW
186590,John Stones,Defender,Centre-Back,right,188.0,England,1994-05-28 00:00:00,22.0,England,CB
192565,Leroy Sane,Attack,Right Winger,left,183.0,Germany,1996-01-11 00:00:00,20.0,Germany,LW
53622,Ilkay Gundogan,Midfield,Central Midfield,right,180.0,Germany,1990-10-24 00:00:00,25.0,Germany,CM
40423,Claudio Bravo,Goalkeeper,Goalkeeper,right,184.0,Chile,1983-04-13 00:00:00,33.0,Chile,GK
70934,Nolito,Attack,Left Winger,right,175.0,Spain,1986-10-15 00:00:00,29.0,Spain,LW
122153,Paul Pogba,Midfield,Central Midfield,both,191.0,France,1993-03-15 00:00:00,23.0,France,CM
55735,Henrikh Mkhitaryan,Midfield,Central Midfield,both,177.0,Armenia,1989-01-21 00:00:00,27.0,Armenia,AM
